compound_id,drug,disease_id,disease,metapath,treatment,path_count,DWPC
DB00843,Donepezil,DOID:635,acquired immunodeficiency syndrome,CdrGiGaD,0,4,0.026564764
DB00215,Citalopram,DOID:10652,Alzheimer's disease,CdrGiGaD,0,2,0.013205205
DB01175,Escitalopram,DOID:10652,Alzheimer's disease,CdrGiGaD,0,2,0.013205205
DB01014,Balsalazide,DOID:10652,Alzheimer's disease,CdrGiGaD,0,4,0.00641414
DB00387,Procyclidine,DOID:635,acquired immunodeficiency syndrome,CdrGiGaD,0,1,0.006028035
DB00810,Biperiden,DOID:10652,Alzheimer's disease,CdrGiGaD,1,21,0.005339368
DB01224,Quetiapine,DOID:14330,Parkinson's disease,CdrGiGaD,1,11,0.005021157
DB01100,Pimozide,DOID:14330,Parkinson's disease,CdrGiGaD,0,19,0.004732455
DB00843,Donepezil,DOID:13378,Kawasaki disease,CdrGiGaD,0,1,0.004199605
DB00843,Donepezil,DOID:8778,Crohn's disease,CdrGiGaD,0,1,0.004140867
DB00509,Dextrothyroxine,DOID:10652,Alzheimer's disease,CdrGiGaD,0,14,0.004094512
DB00451,Levothyroxine,DOID:10652,Alzheimer's disease,CdrGiGaD,0,14,0.004094512
DB01224,Quetiapine,DOID:10652,Alzheimer's disease,CdrGiGaD,1,13,0.004080112
DB00843,Donepezil,DOID:10652,Alzheimer's disease,CdrGiGaD,1,2,0.003767894
DB01100,Pimozide,DOID:10652,Alzheimer's disease,CdrGiGaD,0,23,0.003439762
DB00810,Biperiden,DOID:14330,Parkinson's disease,CdrGiGaD,1,17,0.003110041
DB01224,Quetiapine,DOID:8778,Crohn's disease,CdrGiGaD,0,9,0.003022661
DB00451,Levothyroxine,DOID:14330,Parkinson's disease,CdrGiGaD,0,8,0.002475583
DB00509,Dextrothyroxine,DOID:14330,Parkinson's disease,CdrGiGaD,0,8,0.002475583
DB00649,Stavudine,DOID:9206,Barrett's esophagus,CdrGiGaD,0,3,0.002181152
DB00451,Levothyroxine,DOID:8778,Crohn's disease,CdrGiGaD,0,6,0.002094663
DB00509,Dextrothyroxine,DOID:8778,Crohn's disease,CdrGiGaD,0,6,0.002094663
DB01100,Pimozide,DOID:9206,Barrett's esophagus,CdrGiGaD,0,6,0.002073115
DB00810,Biperiden,DOID:9206,Barrett's esophagus,CdrGiGaD,0,4,0.002054623
DB01100,Pimozide,DOID:8778,Crohn's disease,CdrGiGaD,0,12,0.001959118
DB00244,Mesalazine,DOID:8778,Crohn's disease,CdrGiGaD,1,4,0.001876571
DB00387,Procyclidine,DOID:14330,Parkinson's disease,CdrGiGaD,1,2,0.001864224
DB00649,Stavudine,DOID:10652,Alzheimer's disease,CdrGiGaD,0,7,0.001853624
DB00787,Aciclovir,DOID:8778,Crohn's disease,CdrGiGaD,0,1,0.001797213
DB00224,Indinavir,DOID:8778,Crohn's disease,CdrGiGaD,0,1,0.001797213
DB00190,Carbidopa,DOID:8778,Crohn's disease,CdrGiGaD,0,1,0.001797213
