compound_id,drug,disease_id,disease,metapath,treatment,path_count,DWPC
DB00244,Mesalazine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,5,0.01564275
DB00795,Sulfasalazine,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.00976147
DB00550,Propylthiouracil,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.00976147
DB00387,Procyclidine,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.00976147
DB01104,Sertraline,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,6,0.009224265
DB00850,Perphenazine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,5,0.008932888
DB00334,Olanzapine,DOID:8778,Crohn's disease,CurGiGaD,0,2,0.008288756
DB00244,Mesalazine,DOID:14330,Parkinson's disease,CurGiGaD,0,9,0.007681534
DB00900,Didanosine,DOID:10652,Alzheimer's disease,CurGiGaD,0,8,0.007632896
DB00244,Mesalazine,DOID:10652,Alzheimer's disease,CurGiGaD,0,15,0.00746343
DB00810,Biperiden,DOID:14330,Parkinson's disease,CurGiGaD,1,15,0.006885702
DB00810,Biperiden,DOID:10652,Alzheimer's disease,CurGiGaD,1,22,0.006787451
DB01077,Etidronic acid,DOID:10652,Alzheimer's disease,CurGiGaD,0,5,0.006457793
DB00244,Mesalazine,DOID:8778,Crohn's disease,CurGiGaD,1,9,0.006297287
DB01104,Sertraline,DOID:5408,Paget's disease of bone,CurGiGaD,0,2,0.006233626
DB01077,Etidronic acid,DOID:8778,Crohn's disease,CurGiGaD,0,2,0.005861036
DB01104,Sertraline,DOID:10652,Alzheimer's disease,CurGiGaD,0,15,0.005848087
DB00850,Perphenazine,DOID:5408,Paget's disease of bone,CurGiGaD,0,1,0.005796736
DB00810,Biperiden,DOID:9206,Barrett's esophagus,CurGiGaD,0,4,0.005703416
DB00334,Olanzapine,DOID:10652,Alzheimer's disease,CurGiGaD,0,4,0.005647342
DB00810,Biperiden,DOID:12361,Graves' disease,CurGiGaD,0,2,0.005583238
DB00810,Biperiden,DOID:8778,Crohn's disease,CurGiGaD,0,13,0.005491982
DB00787,Aciclovir,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,5,0.005052084
DB00550,Propylthiouracil,DOID:10652,Alzheimer's disease,CurGiGaD,0,3,0.004763752
DB00387,Procyclidine,DOID:10652,Alzheimer's disease,CurGiGaD,1,3,0.004763752
DB00795,Sulfasalazine,DOID:10652,Alzheimer's disease,CurGiGaD,0,3,0.004763752
DB00630,Alendronate,DOID:10652,Alzheimer's disease,CurGiGaD,0,6,0.0047616
DB00810,Biperiden,DOID:13378,Kawasaki disease,CurGiGaD,0,4,0.004271995
DB00787,Aciclovir,DOID:10652,Alzheimer's disease,CurGiGaD,0,10,0.004166117
DB00850,Perphenazine,DOID:10652,Alzheimer's disease,CurGiGaD,0,9,0.003869944
DB00550,Propylthiouracil,DOID:8778,Crohn's disease,CurGiGaD,0,1,0.003803629
DB00795,Sulfasalazine,DOID:8778,Crohn's disease,CurGiGaD,1,1,0.003803629
DB00387,Procyclidine,DOID:8778,Crohn's disease,CurGiGaD,0,1,0.003803629
DB00787,Aciclovir,DOID:14330,Parkinson's disease,CurGiGaD,0,8,0.003583599
DB00810,Biperiden,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,5,0.003528461
DB01104,Sertraline,DOID:12361,Graves' disease,CurGiGaD,0,3,0.003503946
DB01583,Liotrix,DOID:10652,Alzheimer's disease,CurGiGaD,0,1,0.003485357
DB00279,Liothyronine,DOID:10652,Alzheimer's disease,CurGiGaD,0,1,0.003485357
DB00787,Aciclovir,DOID:8778,Crohn's disease,CurGiGaD,0,9,0.003125083
DB00625,Efavirenz,DOID:9206,Barrett's esophagus,CurGiGaD,0,4,0.003042362
DB00850,Perphenazine,DOID:12361,Graves' disease,CurGiGaD,0,2,0.002988823
DB00244,Mesalazine,DOID:13378,Kawasaki disease,CurGiGaD,0,2,0.002941162
DB00248,Cabergoline,DOID:10652,Alzheimer's disease,CurGiGaD,0,3,0.002765551
DB00220,Nelfinavir,DOID:14330,Parkinson's disease,CurGiGaD,0,8,0.002764932
DB00220,Nelfinavir,DOID:10652,Alzheimer's disease,CurGiGaD,0,7,0.00225584
DB01200,Bromocriptine,DOID:14330,Parkinson's disease,CurGiGaD,1,2,0.002223368
DB00625,Efavirenz,DOID:10652,Alzheimer's disease,CurGiGaD,0,7,0.002148817
DB01200,Bromocriptine,DOID:10652,Alzheimer's disease,CurGiGaD,0,3,0.002131473
DB01104,Sertraline,DOID:14330,Parkinson's disease,CurGiGaD,1,4,0.002100455
DB00810,Biperiden,DOID:5408,Paget's disease of bone,CurGiGaD,0,2,0.002080025
DB00787,Aciclovir,DOID:13378,Kawasaki disease,CurGiGaD,0,2,0.001882426
DB00843,Donepezil,DOID:8778,Crohn's disease,CurGiGaD,0,4,0.001853146
DB01043,Memantine,DOID:8778,Crohn's disease,CurGiGaD,0,4,0.001853146
DB00244,Mesalazine,DOID:12361,Graves' disease,CurGiGaD,0,2,0.001767799
DB00787,Aciclovir,DOID:9206,Barrett's esophagus,CurGiGaD,0,4,0.001756508
DB00850,Perphenazine,DOID:14330,Parkinson's disease,CurGiGaD,0,3,0.00174406
DB01043,Memantine,DOID:14330,Parkinson's disease,CurGiGaD,1,6,0.001644686
DB00843,Donepezil,DOID:14330,Parkinson's disease,CurGiGaD,0,6,0.001644686
DB00244,Mesalazine,DOID:9206,Barrett's esophagus,CurGiGaD,0,3,0.001623448
DB01100,Pimozide,DOID:10652,Alzheimer's disease,CurGiGaD,0,4,0.001520477
DB00630,Alendronate,DOID:14330,Parkinson's disease,CurGiGaD,0,4,0.001470334
DB00630,Alendronate,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.001416386
DB01100,Pimozide,DOID:14330,Parkinson's disease,CurGiGaD,0,2,0.001406181
DB00625,Efavirenz,DOID:8778,Crohn's disease,CurGiGaD,0,3,0.001367951
DB00900,Didanosine,DOID:9206,Barrett's esophagus,CurGiGaD,0,1,0.001344611
DB00630,Alendronate,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,2,0.001334179
DB00248,Cabergoline,DOID:14330,Parkinson's disease,CurGiGaD,1,1,0.001307267
DB00630,Alendronate,DOID:5408,Paget's disease of bone,CurGiGaD,1,1,0.001290375
DB00625,Efavirenz,DOID:14330,Parkinson's disease,CurGiGaD,0,4,0.001246248
DB00220,Nelfinavir,DOID:8778,Crohn's disease,CurGiGaD,0,4,0.001069914
DB00268,Ropinirole,DOID:8778,Crohn's disease,CurGiGaD,0,1,0.001061478
DB00850,Perphenazine,DOID:9206,Barrett's esophagus,CurGiGaD,0,1,0.001025762
DB01104,Sertraline,DOID:8778,Crohn's disease,CurGiGaD,0,3,0.001001187
DB01104,Sertraline,DOID:9206,Barrett's esophagus,CurGiGaD,0,1,0.000949671
DB01043,Memantine,DOID:10652,Alzheimer's disease,CurGiGaD,1,4,0.000892872
DB00843,Donepezil,DOID:10652,Alzheimer's disease,CurGiGaD,1,4,0.000892872
DB00244,Mesalazine,DOID:5408,Paget's disease of bone,CurGiGaD,0,1,0.000872995
DB00625,Efavirenz,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,1,0.000832086
DB01043,Memantine,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.000805974
DB00843,Donepezil,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.000805974
DB01043,Memantine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,1,0.000728365
DB00843,Donepezil,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,1,0.000728365
DB00850,Perphenazine,DOID:13378,Kawasaki disease,CurGiGaD,0,1,0.000657617
DB00900,Didanosine,DOID:8778,Crohn's disease,CurGiGaD,0,1,0.00063134
DB01104,Sertraline,DOID:13378,Kawasaki disease,CurGiGaD,0,1,0.000608835
DB00843,Donepezil,DOID:5408,Paget's disease of bone,CurGiGaD,0,1,0.00059903
DB01043,Memantine,DOID:5408,Paget's disease of bone,CurGiGaD,0,1,0.00059903
DB00268,Ropinirole,DOID:10652,Alzheimer's disease,CurGiGaD,1,1,0.000596025
DB00220,Nelfinavir,DOID:9206,Barrett's esophagus,CurGiGaD,0,2,0.000465329
DB00787,Aciclovir,DOID:12361,Graves' disease,CurGiGaD,0,1,0.000444017
DB00630,Alendronate,DOID:12361,Graves' disease,CurGiGaD,0,1,0.000424991
DB00220,Nelfinavir,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,1,0.000420522
DB00220,Nelfinavir,DOID:5408,Paget's disease of bone,CurGiGaD,0,1,0.00034585
DB00850,Perphenazine,DOID:8778,Crohn's disease,CurGiGaD,0,1,0.000224619
DB00630,Alendronate,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00795,Sulfasalazine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00843,Donepezil,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00387,Procyclidine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB01075,Diphenhydramine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00494,Entacapone,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00763,Methimazole,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB01048,Abacavir,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB01186,Pergolide,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB00884,Risedronate,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01175,Escitalopram,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01232,Saquinavir,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00425,Zolpidem,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00282,Pamidronate,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00503,Ritonavir,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB01037,Selegiline,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB01077,Etidronic acid,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01033,Mercaptopurine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00701,Amprenavir,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00996,Gabapentin,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00509,Dextrothyroxine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01367,Rasagiline,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01043,Memantine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00709,Lamivudine,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00745,Modafinil,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB05271,Rotigotine,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00985,Dimenhydrinate,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB01100,Pimozide,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00657,Mecamylamine,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00736,Esomeprazole,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00709,Lamivudine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00714,Apomorphine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB05271,Rotigotine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00399,Zoledronate,DOID:5408,Paget's disease of bone,CurGiGaD,1,0,0
DB00245,Benzatropine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00701,Amprenavir,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00502,Haloperidol,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00747,Scopolamine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00215,Citalopram,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00158,Folic Acid,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00787,Aciclovir,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00190,Carbidopa,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB01224,Quetiapine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00916,Metronidazole,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00494,Entacapone,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00916,Metronidazole,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00915,Amantadine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00245,Benzatropine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB05271,Rotigotine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB01583,Liotrix,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00575,Clonidine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00572,Atropine,DOID:8778,Crohn's disease,CurGiGaD,1,0,0
