source,drugbank_name,target,side_effect_name
DB01048,Abacavir,C0001849,AIDS dementia complex
DB01048,Abacavir,C0232487,Abdominal discomfort
DB01048,Abacavir,C0000737,Abdominal pain
DB01048,Abacavir,C0232492,Abdominal pain upper
DB01048,Abacavir,C0234458,Abnormal dreams
DB01048,Abacavir,C0948089,Acute coronary syndrome
DB01048,Abacavir,C0035222,Acute respiratory distress syndrome
DB01048,Abacavir,C0151905,Alanine aminotransferase increased
DB01048,Abacavir,C0002170,Alopecia
DB01048,Abacavir,C0002871,Anaemia
DB01048,Abacavir,C0002792,Anaphylactic shock
DB01048,Abacavir,C0003123,Anorexia
DB01048,Abacavir,C0003467,Anxiety
DB01048,Abacavir,C0034902,Aplasia pure red cell
DB01048,Abacavir,C0002874,Aplastic anaemia
DB01048,Abacavir,C1971624,Appetite absent
DB01048,Abacavir,C0003862,Arthralgia
DB01048,Abacavir,C0151904,Aspartate aminotransferase increased
DB01048,Abacavir,C0004093,Asthenia
DB01048,Abacavir,C0004364,Autoimmune disorder
DB01048,Abacavir,C0018213,Basedow's disease
DB01048,Abacavir,C0311468,Blood bilirubin increased
DB01048,Abacavir,C0853034,Blood creatine phosphokinase increased
DB01048,Abacavir,C0235431,Blood creatinine increased
DB01048,Abacavir,C0018939,Blood disorder
DB01048,Abacavir,C0853692,Blood triglycerides increased
DB01048,Abacavir,C0015967,Body temperature increased
DB01048,Abacavir,C2225524,Breast enlargement
DB01048,Abacavir,C0231856,Breath sounds abnormal
DB01048,Abacavir,C0006277,Bronchitis
DB01048,Abacavir,C0520573,Buffalo hump
DB01048,Abacavir,C0085593,Chills
DB01048,Abacavir,C0009763,Conjunctivitis
DB01048,Abacavir,C0009782,Connective tissue disorder
DB01048,Abacavir,C0036572,Convulsion
DB01048,Abacavir,C0010200,Cough
DB01048,Abacavir,C0151576,Creatine phosphokinase increased
DB01048,Abacavir,C0151578,Creatinine increased
DB01048,Abacavir,C0232462,Decreased appetite
DB01048,Abacavir,C0344315,Depressed mood
DB01048,Abacavir,C0011570,Depression
DB01048,Abacavir,C0011581,Depressive disorder
DB01048,Abacavir,C0011603,Dermatitis
DB01048,Abacavir,C0011991,Diarrhoea
DB01048,Abacavir,C0234215,Discomfort
DB01048,Abacavir,C0012833,Dizziness
DB01048,Abacavir,C0013182,Drug hypersensitivity
DB01048,Abacavir,C0013404,Dyspnoea
DB01048,Abacavir,C0013415,Dysthymic disorder
DB01048,Abacavir,C0014742,Erythema multiforme
DB01048,Abacavir,C0856151,Fat redistribution
DB01048,Abacavir,C0015672,Fatigue
DB01048,Abacavir,C1443060,Feeling abnormal
DB01048,Abacavir,C0151662,Gamma-glutamyltransferase increased
DB01048,Abacavir,C0017152,Gastritis
DB01048,Abacavir,C0017160,Gastroenteritis
DB01048,Abacavir,C0017178,Gastrointestinal disorder
DB01048,Abacavir,C0687713,Gastrointestinal pain
DB01048,Abacavir,C0426576,Gastrointestinal symptom NOS
DB01048,Abacavir,C0018681,Headache
