source,target,z_score,symbol,status,direction,nlog10_bonferroni_pval
DB00220,54541,17.271,DDIT4,measured,up,63.119
DB00220,3162,4.093,HMOX1,measured,up,1.38
DB00220,4792,4.071000000000001,NFKBIA,measured,up,1.339
DB00244,154,4.683,ADRB2,measured,up,2.5580000000000003
DB00244,6347,4.165,CCL2,measured,up,1.516
DB00244,2908,4.75,NR3C1,measured,up,2.701
DB00248,4208,4.567,MEF2C,measured,up,2.315
DB00268,10320,4.485,IKZF1,measured,up,2.147
DB00279,10057,5.223,ABCC5,measured,up,3.764
DB00334,12,5.5489999999999995,SERPINA3,imputed,up,3.7289999999999996
DB00387,5743,5.0280000000000005,PTGS2,measured,up,3.315
DB00550,5743,7.932,PTGS2,measured,up,11.675999999999998
DB00625,3551,4.633,IKBKB,measured,up,2.4530000000000003
DB00630,323,4.159,APBB2,measured,up,1.505
DB00630,1029,5.5920000000000005,CDKN2A,measured,up,4.659
DB00787,323,4.3260000000000005,APBB2,measured,up,1.828
DB00787,7852,4.553,CXCR4,measured,up,2.286
DB00787,3551,4.112,IKBKB,measured,up,1.416
DB00795,5743,4.977,PTGS2,measured,up,3.2
DB00810,596,4.4030000000000005,BCL2,measured,up,1.9809999999999999
DB00810,652,4.702,BMP4,measured,up,2.5989999999999998
DB00810,7852,5.667000000000001,CXCR4,measured,up,4.8469999999999995
DB00810,3122,5.53,HLA-DRA,measured,up,4.504
DB00810,2185,4.62,PTK2B,measured,up,2.426
DB00810,7015,5.86,TERT,measured,up,5.343999999999999
DB00810,7099,8.431000000000001,TLR4,measured,up,13.475
DB00843,4792,4.082,NFKBIA,measured,up,1.36
DB00850,1509,5.608,CTSD,measured,up,4.699
DB00850,54541,7.144,DDIT4,measured,up,9.052
DB00850,1718,5.377999999999999,DHCR24,imputed,up,3.3110000000000004
DB00850,10682,7.829,EBP,measured,up,11.318
DB00850,2224,6.547999999999999,FDPS,imputed,up,6.422000000000001
DB00850,2896,4.561,GRN,measured,up,2.303
DB00900,4851,5.25,NOTCH1,measured,up,3.8280000000000003
DB01043,4792,5.435,NFKBIA,measured,up,4.271
DB01077,10057,4.414,ABCC5,measured,up,2.003
DB01077,12,4.705,SERPINA3,imputed,up,1.7830000000000001
DB01100,54541,7.482,DDIT4,measured,up,10.145
DB01100,10682,5.542000000000001,EBP,measured,up,4.534
DB01100,3992,5.182,FADS1,imputed,up,2.846
DB01100,2224,6.815,FDPS,imputed,up,7.212999999999999
DB01100,3162,7.085,HMOX1,measured,up,8.867
DB01104,1509,4.454,CTSD,measured,up,2.084
DB01104,1718,4.68,DHCR24,imputed,up,1.73
DB01104,10682,7.247999999999999,EBP,measured,up,9.383
DB01104,2224,7.212000000000001,FDPS,imputed,up,8.446
DB01104,2896,4.718,GRN,measured,up,2.633
DB01104,3162,7.207999999999999,HMOX1,measured,up,9.255
DB01104,8878,4.717,SQSTM1,measured,up,2.6310000000000002
DB01200,54541,9.247,DDIT4,measured,up,16.646
DB01200,3162,4.677,HMOX1,measured,up,2.546
DB01583,10057,5.3260000000000005,ABCC5,measured,up,4.008
