source,target,sources,unbiased,Index
2,60,hetio-dag,0,12
2,259,II_literature|hetio-dag,0,13
2,309,II_literature|hetio-dag,0,14
2,310,hetio-dag,0,15
2,354,II_literature|hetio-dag,0,18
2,476,hetio-dag,0,19
2,567,II_literature|hetio-dag,0,20
2,998,II_binary|II_literature|hetio-dag,0,21
2,1026,hetio-dag,0,22
2,1080,hetio-dag,0,23
2,1361,II_literature|hetio-dag,0,24
2,1510,II_literature|hetio-dag,0,26
2,1990,II_literature|hetio-dag,0,29
2,1995,II_literature|hetio-dag,0,30
2,2026,hetio-dag,0,31
2,2193,II_literature|hetio-dag,0,32
2,2639,II_literature|hetio-dag,0,33
2,2669,II_binary|II_literature|hetio-dag,0,34
2,2885,II_binary|II_literature|hetio-dag,0,35
2,3014,hetio-dag,0,36
2,3163,hetio-dag,0,37
2,3337,hetio-dag,0,39
2,3437,II_literature|hetio-dag,0,40
2,3817,II_literature,0,44
2,3931,II_literature|hetio-dag,0,45
2,4069,hetio-dag,0,48
2,4313,II_literature|hetio-dag,0,49
2,4653,II_literature|hetio-dag,0,50
2,5047,II_literature|hetio-dag,0,53
2,5154,II_literature|hetio-dag,0,54
2,5155,II_literature|hetio-dag,0,55
2,5864,hetio-dag,0,56
2,5886,II_literature|hetio-dag,0,57
2,5908,hetio-dag,0,58
2,6009,II_literature|hetio-dag,0,59
2,6462,II_literature|hetio-dag,0,60
2,6468,hetio-dag,0,61
2,6606,hetio-dag,0,62
2,6607,hetio-dag,0,63
2,7001,II_literature|hetio-dag,0,64
2,7045,II_literature|hetio-dag,0,65
2,7050,hetio-dag,0,66
2,7052,hetio-dag,0,67
2,7301,hetio-dag,0,70
2,7353,hetio-dag,0,71
2,7372,II_literature|hetio-dag,0,72
2,8728,II_literature|hetio-dag,0,73
2,8764,hetio-dag,0,74
2,8848,hetio-dag,0,75
2,9361,II_literature|hetio-dag,0,76
2,9510,II_literature|hetio-dag,0,77
2,10053,hetio-dag,0,78
2,10263,hetio-dag,0,79
2,10376,hetio-dag,0,80
2,10724,II_literature,0,81
2,10944,II_binary|II_literature|hetio-dag,0,82
2,11051,hetio-dag,0,83
2,11102,hetio-dag,0,84
2,11140,hetio-dag,0,85
2,22983,II_literature|hetio-dag,0,87
2,23154,II_literature|hetio-dag,0,88
2,23176,hetio-dag,0,89
2,24138,II_literature|hetio-dag,0,90
2,26085,II_literature|hetio-dag,0,91
2,51013,II_literature|hetio-dag,0,92
2,51024,hetio-dag,0,93
2,51295,II_literature|hetio-dag,0,94
2,54850,hetio-dag,0,95
2,55729,II_literature|hetio-dag,0,96
2,56729,hetio-dag,0,97
2,57559,hetio-dag,0,98
2,64223,II_literature,0,99
2,84106,II_literature|hetio-dag,0,100
2,93185,hetio-dag,0,101
2,112398,hetio-dag,0,102
2,115704,hetio-dag,0,103
2,124912,II_literature,0,104
2,126003,II_literature|hetio-dag,0,105
2,126074,hetio-dag,0,106
2,140545,II_literature|hetio-dag,0,107
10,8260,II_literature|hetio-dag,0,112
12,125,hetio-dag,0,114
12,354,II_literature|hetio-dag,0,116
12,1215,II_literature|hetio-dag,0,117
12,1504,II_literature|hetio-dag,0,118
12,1506,II_literature|hetio-dag,0,119
12,1511,II_literature|hetio-dag,0,120
12,1990,II_literature|hetio-dag,0,121
12,1991,II_literature|hetio-dag,0,122
12,2064,II_literature,0,123
12,3211,II_literature|hetio-dag,0,125
12,3817,II_literature|hetio-dag,0,126
12,4001,hetio-dag,0,127
12,4312,II_literature|hetio-dag,0,129
12,4790,hetio-dag,0,131
12,5422,II_literature|hetio-dag,0,132
12,6444,hetio-dag,0,133
12,9622,hetio-dag,0,135
12,10319,hetio-dag,0,137
12,11330,II_literature|hetio-dag,0,138
12,30834,hetio-dag,0,139
12,64215,II_binary|II_literature|Lit-BM-13|hetio-dag,0,140
18,1398,II_binary|II_literature|hetio-dag,0,171
19,335,II_literature|hetio-dag,0,175
19,998,hetio-dag,0,176
19,1387,II_literature|hetio-dag,0,177
19,1457,II_literature|hetio-dag,0,178
19,1459,hetio-dag,0,179
19,1740,II_binary|II_literature|hetio-dag,0,180
19,1741,II_binary|II_literature|hetio-dag,0,181
19,1838,II_literature,0,182
19,1958,hetio-dag,0,183
19,3984,II_literature,0,184
19,4008,II_literature|hetio-dag,0,185
19,5174,II_literature|hetio-dag,0,186
19,5360,II_literature|hetio-dag,0,187
19,5566,II_literature|hetio-dag,0,188
19,6390,II_literature|hetio-dag,0,189
19,6640,II_binary|II_literature|hetio-dag,0,190
19,6641,II_binary|II_literature|Lit-BM-13|hetio-dag,0,191
19,6645,II_binary|II_literature|Lit-BM-13|hetio-dag,0,192
19,7052,hetio-dag,0,193
19,7074,II_literature|hetio-dag,0,194
19,7316,hetio-dag,0,195
19,7359,II_literature,0,196
19,7360,hetio-dag,0,197
19,7402,II_literature,0,198
19,7508,II_literature|Lit-BM-13|hetio-dag,0,199
19,8517,hetio-dag,0,200
19,8572,II_literature|hetio-dag,0,201
19,8772,II_literature|Lit-BM-13|hetio-dag,0,202
19,8777,II_binary|II_literature|hetio-dag,0,203
19,8825,II_literature|hetio-dag,0,204
19,9318,hetio-dag,0,206
19,9699,II_literature|hetio-dag,0,207
19,9826,II_binary|II_literature|hetio-dag,0,208
19,10558,hetio-dag,0,209
19,10594,II_literature|hetio-dag,0,210
19,10987,hetio-dag,0,211
19,23365,II_binary|II_literature|hetio-dag,0,212
19,23673,hetio-dag,0,213
19,25814,hetio-dag,0,214
19,27295,II_literature|hetio-dag,0,215
19,50944,II_literature|hetio-dag,0,216
19,51678,II_literature|hetio-dag,0,217
19,51735,II_literature|hetio-dag,0,218
19,55327,II_literature|hetio-dag,0,219
19,55914,hetio-dag,0,220
19,57120,II_literature|hetio-dag,0,221
19,64130,II_binary|II_literature|hetio-dag,0,222
19,84708,hetio-dag,0,223
19,284723,hetio-dag,0,224
25,27,II_literature|hetio-dag,0,252
25,29,II_binary|II_literature|hetio-dag,0,253
25,58,II_literature|hetio-dag,0,254
25,197,II_binary|II_literature,0,255
25,326,II_binary|II_literature|hetio-dag,0,258
25,472,II_literature|Lit-BM-13,0,260
25,545,II_literature,0,261
25,598,II_literature,0,262
25,610,II_binary|II_literature|hetio-dag,0,263
25,613,II_literature|hetio-dag,0,264
25,656,II_binary|II_literature|hetio-dag,0,265
25,672,II_binary|II_literature|Lit-BM-13|hetio-dag,0,266
25,675,II_binary|II_literature,0,267
25,695,II_literature|hetio-dag,0,268
25,718,II_literature|hetio-dag,0,269
25,729,II_binary|II_literature|hetio-dag,0,270
25,831,II_binary|II_literature,0,271
25,842,II_literature,0,272
25,847,II_literature,0,273
25,867,II_literature|Lit-BM-13|hetio-dag,0,275
25,887,II_binary|II_literature|hetio-dag,0,276
25,930,II_literature|hetio-dag,0,277
25,983,II_literature|hetio-dag,0,278
25,987,II_binary|II_literature|hetio-dag,0,279
25,996,II_binary|II_literature|hetio-dag,0,280
25,1027,II_literature|hetio-dag,0,282
25,1058,II_binary|II_literature|hetio-dag,0,283
25,1271,II_binary|II_literature|hetio-dag,0,284
25,1398,II_binary|II_literature|Lit-BM-13|hetio-dag,0,286
25,1399,II_literature|Lit-BM-13|hetio-dag,0,287
25,1499,II_binary|II_literature|hetio-dag,0,288
25,1501,II_literature|hetio-dag,0,289
25,1642,II_literature|Lit-BM-13,0,290
25,1643,II_literature|hetio-dag,0,291
25,1748,II_binary|II_literature|hetio-dag,0,292
25,1759,II_binary|II_literature|hetio-dag,0,293
25,1775,II_binary|II_literature|hetio-dag,0,294
25,1785,II_binary|II_literature|hetio-dag,0,295
25,1796,II_literature|Lit-BM-13|hetio-dag,0,297
25,1946,II_binary|II_literature|hetio-dag,0,298
25,1951,II_binary|II_literature|hetio-dag,0,299
25,1956,II_binary|II_literature|hetio-dag,0,300
25,1958,hetio-dag,0,301
25,2033,II_literature|hetio-dag,0,302
25,2042,II_literature,0,303
