source,target,actions
DB00001,2147,inhibitor
DB00002,712,
DB00002,713,
DB00002,714,
DB00002,715,
DB00002,716,
DB00002,1956,antagonist
DB00002,2209,
DB00002,2212,
DB00002,2213,
DB00002,2214,
DB00002,2215,
DB00002,9103,
DB00004,3559,binder
DB00004,3560,agonist
DB00004,3561,
DB00005,712,
DB00005,713,
DB00005,714,
DB00005,715,
DB00005,716,
DB00005,2209,
DB00005,2212,
DB00005,2213,
DB00005,2214,
DB00005,2215,
DB00005,4049,
DB00005,5743,inhibitor
DB00005,7124,antibody
DB00005,7133,
DB00005,9103,
DB00006,2147,inhibitor
DB00006,4353,inhibitor
DB00007,2798,agonist
DB00008,3454,agonist
DB00008,3455,agonist
DB00009,2243,
DB00009,5054,
DB00009,5329,
DB00009,5340,activator
DB00010,2692,agonist
DB00011,3454,agonist
DB00011,3455,agonist
DB00012,2057,agonist
DB00013,4036,
DB00013,4811,
DB00013,5054,
DB00013,5055,
DB00013,5104,
DB00013,5327,
DB00013,5328,
DB00013,5329,
DB00013,5340,activator
DB00013,6768,
DB00014,2798,agonist
DB00014,3973,agonist
DB00015,2243,
DB00015,5054,
DB00015,5329,
DB00015,5340,activator
DB00016,2057,agonist
DB00017,799,agonist
DB00018,3454,agonist
DB00018,3455,agonist
DB00019,1441,agonist
DB00019,1991,
DB00020,1438,agonist
DB00020,1439,agonist
DB00020,3563,agonist
DB00020,5553,
DB00020,6383,agonist
DB00021,6344,agonist
DB00022,3454,agonist
DB00022,3455,agonist
DB00024,7253,agonist
DB00025,433,binder
DB00025,811,chaperone
DB00025,821,chaperone
DB00025,2147,activator
DB00025,2158,cofactor
DB00025,2159,activator
DB00025,3309,chaperone
DB00025,3998,chaperone
DB00025,4035,modulator
DB00025,5264,antagonist
DB00025,5624,inactivator
DB00025,7450,binder
DB00025,90411,modulator
DB00026,3554,antagonist
DB00027,5243,inhibitor
DB00028,718,binder
DB00028,720,binder
DB00028,721,binder
DB00028,727,binder
DB00028,2209,antagonist
DB00028,2210,antagonist
DB00028,2212,antagonist
DB00028,2213,antagonist
DB00028,2214,antagonist
DB00028,2215,antagonist
DB00028,9103,antagonist
DB00028,100293534,binder
DB00029,2243,
DB00029,5054,
DB00029,5329,
DB00029,5340,activator
DB00030,1363,
DB00030,1509,
DB00030,1544,inducer
DB00030,3416,
DB00030,3480,
DB00030,3490,
DB00030,3643,agonist
DB00030,4036,
DB00030,4856,
DB00030,5122,
DB00030,5126,
DB00030,5925,
DB00030,94121,
DB00031,302,
DB00031,811,
DB00031,821,
DB00031,2243,
DB00031,3856,
DB00031,4035,
DB00031,5054,
DB00031,5055,
DB00031,5329,
DB00031,5340,activator
DB00031,7123,
DB00032,2492,binder
DB00032,3973,
DB00033,3459,binder
DB00033,3460,binder
DB00034,3454,
DB00034,3455,
DB00035,552,
DB00035,553,
DB00035,554,agonist
DB00035,5742,inducer
DB00035,5743,inducer
DB00036,2152,
DB00036,2155,
DB00036,2159,
DB00036,2677,
DB00036,3249,
DB00036,7035,
DB00038,3590,agonist
DB00039,2260,
DB00039,2261,
DB00039,2263,binder
DB00039,2264,
DB00039,3339,
DB00039,8829,
DB00040,2642,agonist
DB00040,2740,
DB00040,9340,
DB00041,1571,inhibitor
DB00041,1576,inhibitor
DB00041,3559,agonist|modulator
DB00041,3560,agonist|modulator
DB00041,3561,agonist
DB00041,5321,inducer
DB00041,5743,inducer
DB00041,7498,inducer
DB00042,6843,binder
DB00042,6844,binder
DB00042,127833,
DB00043,2205,
DB00043,2206,antagonist
DB00044,3973,agonist
DB00045,7097,other/unknown
DB00046,1544,inducer
DB00046,3480,
DB00046,3643,agonist
DB00047,1544,inducer
DB00047,3480,agonist
DB00047,3643,agonist
DB00048,1277,
DB00048,1278,
DB00048,1280,
DB00048,1281,
DB00050,2798,antagonist
DB00050,3973,
DB00051,712,
DB00051,713,
DB00051,714,
DB00051,715,
DB00051,716,
DB00051,2209,
DB00051,2212,
DB00051,2213,
DB00051,2214,
DB00051,2215,
DB00051,7124,antibody
DB00051,9103,
DB00052,2690,binder
DB00052,5618,
DB00054,712,
DB00054,713,
DB00054,714,
DB00054,715,
DB00054,716,
DB00054,2209,
DB00054,2212,
DB00054,2213,
DB00054,2214,
DB00054,2215,
DB00054,3674,antagonist
DB00054,3690,antagonist
DB00054,7448,
DB00054,9103,
DB00055,1356,
DB00055,2147,
DB00055,2153,multitarget
DB00055,2157,multitarget
DB00055,2677,
DB00055,5054,
DB00055,5104,
DB00055,5196,
DB00055,5269,
DB00055,5627,
DB00055,7056,
DB00055,10544,
DB00056,712,
DB00056,713,
DB00056,714,
DB00056,715,
DB00056,716,
DB00056,945,antibody
DB00056,2209,
DB00056,2212,
DB00056,2213,
DB00056,2214,
DB00056,2215,
DB00056,9103,
DB00058,1991,inhibitor
DB00060,3454,agonist
DB00060,3455,
DB00061,2885,binder
DB00062,259,
DB00062,348,
DB00062,1559,inhibitor
DB00062,4353,substrate
DB00062,6288,
DB00062,54600,inducer
DB00063,3690,
DB00064,259,
DB00064,348,
DB00064,6288,
DB00065,7124,inhibitor
DB00066,2492,agonist
DB00067,552,
DB00067,553,
DB00067,554,agonist
DB00067,1244,substrate
DB00068,3454,agonist
DB00068,3455,agonist
DB00069,3454,binder
DB00069,3455,binder
DB00070,213,inhibitor
DB00070,7040,inhibitor
DB00071,1363,
DB00071,1509,
DB00071,1544,inducer
DB00071,3118,
DB00071,3119,
DB00071,3416,
DB00071,3480,
DB00071,3490,
DB00071,3643,binder
DB00071,4036,
DB00071,4856,
DB00071,5122,
DB00071,5126,
DB00071,5925,
DB00071,94121,
DB00072,712,
DB00072,713,
DB00072,714,
DB00072,715,
DB00072,716,
DB00072,1588,inhibitor
DB00072,1956,
DB00072,2064,antibody
DB00072,2209,
DB00072,2212,
DB00072,2213,
DB00072,2214,
DB00072,2215,
DB00072,9103,
DB00073,712,
DB00073,713,
DB00073,714,
DB00073,715,
DB00073,716,
DB00073,931,antibody
DB00073,2209,
DB00073,2212,
DB00073,2213,
DB00073,2214,
DB00073,2215,
DB00073,9103,
DB00074,712,
DB00074,713,
DB00074,714,
DB00074,715,
DB00074,716,
DB00074,2209,
DB00074,2212,
DB00074,2213,
DB00074,2214,
DB00074,2215,
DB00074,3559,antibody
DB00074,3560,antibody
DB00074,9103,
DB00075,712,
DB00075,713,
DB00075,714,
DB00075,715,
DB00075,716,
DB00075,915,
DB00075,916,binder
DB00075,917,
DB00075,919,
DB00075,2209,
DB00075,2212,
DB00075,2213,
DB00075,2214,
DB00075,2215,
DB00075,9103,
DB00078,712,
DB00078,713,
DB00078,714,
DB00078,715,
DB00078,716,
DB00078,931,antibody
DB00078,2209,
DB00078,2212,
DB00078,2213,
DB00078,2214,
DB00078,2215,
DB00078,9103,
DB00081,712,
DB00081,713,
DB00081,714,
DB00081,715,
DB00081,931,antibody
DB00081,2209,
DB00081,2212,
DB00081,2213,
DB00081,2214,
DB00081,2215,
DB00081,9103,
DB00082,590,inhibitor
DB00082,1557,inhibitor
DB00082,1562,inhibitor
DB00082,1576,inducer
DB00082,1579,inhibitor
DB00082,1593,inducer
DB00082,2690,antagonist
DB00082,2752,inhibitor
DB00083,388,
DB00083,6616,inhibitor
DB00086,2149,cleavage
DB00086,5321,inducer
DB00086,5340,activator
DB00087,712,
DB00087,713,
DB00087,714,
DB00087,715,
DB00087,1043,antibody
DB00087,2209,
DB00087,2212,
DB00087,2213,
DB00087,2214,
DB00087,2215,
DB00087,9103,
DB00089,2346,other/unknown
DB00091,819,binder
DB00091,1244,inhibitor
DB00091,1551,inducer|substrate
DB00091,1557,inhibitor
DB00091,1558,inhibitor
DB00091,1559,inhibitor
DB00091,1565,inhibitor
DB00091,1576,inhibitor|substrate
DB00091,1577,inducer|substrate
DB00091,2280,
DB00091,2281,
DB00091,2288,
DB00091,4363,inhibitor
DB00091,5243,inducer|inhibitor|substrate
DB00091,5478,modulator
DB00091,5479,
DB00091,5481,
DB00091,5530,
DB00091,5535,inhibitor
DB00091,6554,inhibitor
DB00091,6555,inhibitor
DB00091,6579,inhibitor
DB00091,8647,inhibitor
DB00091,8714,inhibitor
DB00091,9356,inhibitor
DB00091,9429,inhibitor
DB00091,10105,binder
DB00091,10599,inhibitor
DB00091,89845,inhibitor
DB00091,100861540,inducer|substrate
DB00092,712,
DB00092,713,
DB00092,714,
DB00092,715,
DB00092,914,inhibitor
DB00092,2209,
DB00092,2212,
DB00092,2213,
DB00092,2214,
DB00092,2215,
DB00092,9103,
DB00093,552,agonist
DB00094,2492,agonist
DB00095,712,
DB00095,713,
DB00095,714,
DB00095,715,
DB00095,2209,
DB00095,2212,
DB00095,2213,
DB00095,2214,
DB00095,2215,
DB00095,3683,antibody
DB00095,9103,
DB00097,2492,binder
DB00097,3973,
DB00098,909,inhibitor
DB00098,920,
DB00098,942,
DB00098,2213,
DB00098,3140,antagonist
DB00098,3683,
DB00098,3685,
DB00098,3688,
DB00098,3690,
DB00099,1441,stimulator
DB00099,1991,other/unknown
DB00100,2147,
DB00100,2155,ligand
DB00100,2157,cofactor
DB00100,2159,activator
DB00100,2160,ligand
DB00100,2677,
DB00100,4035,
DB00102,2,
DB00102,5156,
DB00102,5159,
DB00104,4353,inhibitor
DB00104,6751,agonist
DB00104,6752,agonist|binder
DB00104,6753,agonist
DB00104,6754,agonist
DB00104,6755,agonist
DB00105,3454,binder
DB00105,3455,binder
DB00106,2798,antagonist
DB00107,5020,binder
DB00107,5021,agonist
DB00107,5550,substrate
DB00108,712,
DB00108,713,
DB00108,714,
DB00108,715,
DB00108,2209,
DB00108,2212,
DB00108,2213,
DB00108,2214,
DB00108,2215,
DB00108,3383,
DB00108,3676,antibody
DB00108,9103,
DB00109,1557,substrate
DB00109,1571,substrate
DB00110,712,
DB00110,713,
DB00110,714,
DB00110,715,
DB00110,2209,
DB00110,2212,
DB00110,2213,
DB00110,2214,
DB00110,2215,
DB00110,9103,
DB00111,712,
DB00111,713,
DB00111,714,
DB00111,715,
DB00111,2209,
DB00111,2212,
DB00111,2213,
DB00111,2214,
DB00111,2215,
DB00111,3559,antibody
DB00111,3560,antibody
DB00111,9103,
DB00112,712,
DB00112,713,
DB00112,714,
DB00112,715,
DB00112,2209,
DB00112,2212,
DB00112,2213,
DB00112,2214,
DB00112,2215,
DB00112,7422,
DB00112,9103,
DB00113,634,other/unknown
DB00114,18,inhibitor
DB00114,189,cofactor
DB00114,211,cofactor
DB00114,586,cofactor
DB00114,587,cofactor
DB00114,875,cofactor
DB00114,883,cofactor
DB00114,1491,cofactor
DB00114,1644,cofactor
DB00114,2571,cofactor
DB00114,2572,cofactor
DB00114,2731,cofactor
DB00114,2805,activator
DB00114,2806,cofactor
DB00114,2875,cofactor
DB00114,3067,cofactor
DB00114,4942,cofactor
DB00114,4953,cofactor
DB00114,5834,cofactor
DB00114,5836,cofactor
DB00114,5837,cofactor
DB00114,6470,cofactor
DB00114,6472,cofactor
DB00114,6898,cofactor
DB00114,8879,cofactor
DB00114,8942,cofactor
DB00114,9054,cofactor
DB00114,9517,cofactor
DB00114,10558,cofactor
DB00114,10841,cofactor
DB00114,10993,cofactor
DB00114,11212,cofactor
DB00114,23042,cofactor
DB00114,23464,cofactor
DB00114,29968,cofactor
DB00114,51091,cofactor
DB00114,51166,cofactor
DB00114,51380,cofactor
DB00114,51540,cofactor
DB00114,55034,cofactor
DB00114,55163,cofactor
DB00114,55304,cofactor
DB00114,56267,cofactor
DB00114,57026,cofactor
DB00114,63826,cofactor
DB00114,64902,cofactor
DB00114,79896,cofactor
DB00114,84706,cofactor
DB00114,85007,cofactor
DB00114,113451,cofactor
DB00114,113675,cofactor
DB00114,285313,cofactor
DB00114,339896,cofactor
DB00114,102724560,cofactor
DB00114,102724985,cofactor
DB00115,842,
DB00115,2694,substrate
DB00115,4524,cofactor
DB00115,4548,cofactor
DB00115,4552,cofactor
DB00115,4594,cofactor
DB00115,6947,substrate
DB00115,6948,substrate
DB00115,8029,substrate
DB00115,25974,cofactor
DB00115,81693,substrate
DB00115,166785,cofactor
DB00115,326625,substrate
DB00116,275,cofactor
DB00116,471,cofactor
DB00116,1244,inhibitor
DB00116,4522,cofactor
DB00116,4524,cofactor
DB00116,4548,cofactor
DB00116,6470,cofactor
DB00116,6472,cofactor
DB00116,10797,cofactor
DB00116,10840,cofactor
DB00116,10841,cofactor
DB00116,123263,cofactor
DB00117,3034,
DB00117,3035,
DB00117,3067,
DB00117,10991,
DB00117,117247,inhibitor|substrate
DB00118,262,cofactor
DB00118,875,activator
DB00118,1312,cofactor
DB00118,1571,inhibitor
DB00118,4143,cofactor
DB00118,4144,cofactor
DB00118,6723,substrate
DB00118,27232,cofactor
DB00118,102724560,activator
DB00119,18,inhibitor
DB00119,5091,
DB00119,5162,
DB00119,5313,
DB00119,5315,
DB00119,6566,inhibitor|substrate
DB00119,6567,
DB00119,6578,inhibitor
DB00119,9120,
DB00119,9121,
DB00119,9122,
DB00119,9123,substrate
DB00119,9194,inhibitor|substrate
DB00119,23539,
DB00119,64902,
DB00119,117247,inhibitor|substrate
DB00120,2193,
DB00120,5053,
DB00120,6898,
DB00120,7054,binder
DB00120,10056,
DB00120,10667,
DB00120,23428,
DB00120,117247,inhibitor
DB00121,25,
DB00121,31,
DB00121,32,
DB00121,1545,inducer
DB00121,3141,
DB00121,5091,
DB00121,5095,
DB00121,5096,
DB00121,8884,
DB00121,56922,
DB00121,64087,
DB00122,43,product of
DB00122,134,antagonist
DB00122,135,antagonist
DB00122,136,antagonist
DB00122,590,product of
DB00122,1103,substrate
DB00122,1119,substrate
DB00122,1120,substrate
DB00122,5130,product of
DB00122,5139,inhibitor
DB00122,5140,inhibitor
DB00122,5141,inhibitor
DB00122,5142,inhibitor
DB00122,5143,inhibitor
DB00122,5144,inhibitor
DB00122,5337,product of
DB00122,5338,product of
DB00122,6580,inhibitor|substrate
DB00122,6581,inhibitor
DB00122,6582,inhibitor|substrate
DB00122,6583,inhibitor
DB00122,6584,inhibitor
DB00122,9468,product of
DB00122,10390,substrate
DB00122,23446,substrate
DB00122,55349,substrate
DB00122,57153,substrate
DB00122,60482,substrate
DB00122,80736,substrate
DB00122,126969,substrate
DB00122,162466,product of
DB00123,3735,
DB00123,6541,
DB00123,6542,
DB00123,6545,
DB00123,6583,inhibitor
DB00123,84889,
DB00123,117247,inhibitor|substrate
DB00125,384,
DB00125,435,
DB00125,445,
DB00125,4843,
DB00125,4846,
DB00125,6541,
DB00125,6545,
DB00125,6583,inhibitor
DB00125,6584,inhibitor
DB00125,84889,
DB00125,113451,
DB00125,117247,inhibitor
DB00126,1621,
DB00126,3938,
DB00126,5033,
DB00126,5066,
DB00126,5264,
DB00126,5351,activator
DB00126,5352,
DB00126,8284,
DB00126,8424,
DB00126,8985,
DB00126,9963,
DB00126,10536,
DB00126,54583,
DB00126,54681,
DB00126,55214,
DB00126,55217,
DB00126,55239,
DB00126,64175,
DB00126,79676,
DB00126,112398,
DB00126,112399,
DB00126,121642,
DB00126,221120,
DB00127,762,
DB00127,763,
