compound_id,drug,disease_id,disease,metapath,treatment,path_count,DWPC
DB01175,Escitalopram,DOID:14330,Parkinson's disease,CsCtD,1,6495,0.110667726
DB00215,Citalopram,DOID:14330,Parkinson's disease,CsCtD,1,6495,0.110667726
DB00268,Ropinirole,DOID:14330,Parkinson's disease,CsCtD,1,5929,0.09687677
DB00413,Pramipexole,DOID:14330,Parkinson's disease,CsCtD,1,5676,0.095309271
DB00734,Risperidone,DOID:14330,Parkinson's disease,CsCtD,0,5980,0.091895188
DB01037,Selegiline,DOID:14330,Parkinson's disease,CsCtD,1,4952,0.085262128
DB00989,Rivastigmine,DOID:14330,Parkinson's disease,CsCtD,1,5103,0.083709467
DB00996,Gabapentin,DOID:14330,Parkinson's disease,CsCtD,1,5200,0.083332118
DB01043,Memantine,DOID:14330,Parkinson's disease,CsCtD,1,4891,0.080895525
DB01104,Sertraline,DOID:14330,Parkinson's disease,CsCtD,1,4754,0.079760336
DB00709,Lamivudine,DOID:635,acquired immunodeficiency syndrome,CsCtD,1,1323,0.077798411
DB01224,Quetiapine,DOID:14330,Parkinson's disease,CsCtD,1,4783,0.076720806
DB00425,Zolpidem,DOID:14330,Parkinson's disease,CsCtD,1,4091,0.076044783
DB00843,Donepezil,DOID:14330,Parkinson's disease,CsCtD,0,4243,0.074990302
DB00494,Entacapone,DOID:14330,Parkinson's disease,CsCtD,1,3616,0.073122622
DB00246,Ziprasidone,DOID:14330,Parkinson's disease,CsCtD,0,4149,0.073077005
DB01186,Pergolide,DOID:14330,Parkinson's disease,CsCtD,1,4022,0.072816661
DB00338,Omeprazole,DOID:9206,Barrett's esophagus,CsCtD,1,302,0.071421539
DB00736,Esomeprazole,DOID:9206,Barrett's esophagus,CsCtD,1,302,0.071421539
DB01048,Abacavir,DOID:635,acquired immunodeficiency syndrome,CsCtD,1,1000,0.070050247
DB00323,Tolcapone,DOID:14330,Parkinson's disease,CsCtD,1,3745,0.06899299
DB00503,Ritonavir,DOID:14330,Parkinson's disease,CsCtD,0,4216,0.068982971
DB01367,Rasagiline,DOID:14330,Parkinson's disease,CsCtD,1,3608,0.067985311
DB00424,Hyoscyamine,DOID:14330,Parkinson's disease,CsCtD,1,2397,0.067143503
DB00572,Atropine,DOID:14330,Parkinson's disease,CsCtD,1,2397,0.067143503
DB01068,Clonazepam,DOID:14330,Parkinson's disease,CsCtD,1,3530,0.066884884
DB00313,Valproic Acid,DOID:14330,Parkinson's disease,CsCtD,0,3896,0.065346899
DB01232,Saquinavir,DOID:14330,Parkinson's disease,CsCtD,0,3872,0.064009621
DB00190,Carbidopa,DOID:14330,Parkinson's disease,CsCtD,1,2621,0.063023796
DB00649,Stavudine,DOID:635,acquired immunodeficiency syndrome,CsCtD,1,941,0.062475674
DB00244,Mesalazine,DOID:14330,Parkinson's disease,CsCtD,0,3867,0.062386816
DB01232,Saquinavir,DOID:635,acquired immunodeficiency syndrome,CsCtD,1,1471,0.061450961
DB00705,Delavirdine,DOID:14330,Parkinson's disease,CsCtD,0,3463,0.061219882
DB01235,L-DOPA,DOID:14330,Parkinson's disease,CsCtD,1,2641,0.060945853
DB00674,Galantamine,DOID:14330,Parkinson's disease,CsCtD,0,3011,0.06039439
DB00635,Prednisone,DOID:14330,Parkinson's disease,CsCtD,0,2526,0.060243329
