tax_id,GeneID,Symbol,chromosome,map_location,type_of_gene,description
9606,1,A1BG,19,19q13.4,protein-coding,alpha-1-B glycoprotein
9606,2,A2M,12,12p13.31,protein-coding,alpha-2-macroglobulin
9606,10,NAT2,8,8p22,protein-coding,N-acetyltransferase 2 (arylamine N-acetyltransferase)
9606,12,SERPINA3,14,14q32.1,protein-coding,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
9606,14,AAMP,2,2q35,protein-coding,"angio-associated, migratory cell protein"
9606,15,AANAT,17,17q25.1,protein-coding,aralkylamine N-acetyltransferase
9606,16,AARS,16,16q22,protein-coding,alanyl-tRNA synthetase
9606,18,ABAT,16,16p13.2,protein-coding,4-aminobutyrate aminotransferase
9606,19,ABCA1,9,9q31.1,protein-coding,"ATP-binding cassette, sub-family A (ABC1), member 1"
9606,22,ABCB7,X,Xq13.3,protein-coding,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
9606,23,ABCF1,6,6p21.33,protein-coding,"ATP-binding cassette, sub-family F (GCN20), member 1"
9606,25,ABL1,9,9q34.1,protein-coding,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
9606,27,ABL2,1,1q25.2,protein-coding,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
9606,28,ABO,9,9q34.2,protein-coding,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
9606,29,ABR,17,17p13.3,protein-coding,active BCR-related
9606,30,ACAA1,3,3p22.2,protein-coding,acetyl-CoA acyltransferase 1
9606,31,ACACA,17,17q21,protein-coding,acetyl-CoA carboxylase alpha
9606,34,ACADM,1,1p31,protein-coding,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
9606,36,ACADSB,10,10q26.13,protein-coding,"acyl-CoA dehydrogenase, short/branched chain"
9606,37,ACADVL,17,17p13.1,protein-coding,"acyl-CoA dehydrogenase, very long chain"
9606,38,ACAT1,11,11q22.3,protein-coding,acetyl-CoA acetyltransferase 1
9606,39,ACAT2,6,6q25.3,protein-coding,acetyl-CoA acetyltransferase 2
9606,41,ASIC1,12,12q12,protein-coding,acid sensing (proton gated) ion channel 1
9606,43,ACHE,7,7q22,protein-coding,acetylcholinesterase (Yt blood group)
9606,47,ACLY,17,17q21.2,protein-coding,ATP citrate lyase
9606,48,ACO1,9,9p21.1,protein-coding,"aconitase 1, soluble"
9606,50,ACO2,22,22q13.2,protein-coding,"aconitase 2, mitochondrial"
9606,52,ACP1,2,2p25,protein-coding,"acid phosphatase 1, soluble"
9606,54,ACP5,19,19p13.2,protein-coding,"acid phosphatase 5, tartrate resistant"
9606,58,ACTA1,1,1q42.13,protein-coding,"actin, alpha 1, skeletal muscle"
9606,59,ACTA2,10,10q23.3,protein-coding,"actin, alpha 2, smooth muscle, aorta"
9606,60,ACTB,7,7p22,protein-coding,"actin, beta"
9606,70,ACTC1,15,15q14,protein-coding,"actin, alpha, cardiac muscle 1"
9606,71,ACTG1,17,17q25,protein-coding,actin gamma 1
9606,81,ACTN4,19,19q13,protein-coding,"actinin, alpha 4"
9606,86,ACTL6A,3,3q26.33,protein-coding,actin-like 6A
9606,87,ACTN1,14,14q24|14q22-q24,protein-coding,"actinin, alpha 1"
9606,88,ACTN2,1,1q42-q43,protein-coding,"actinin, alpha 2"
9606,89,ACTN3,11,11q13.1,protein-coding,"actinin, alpha 3 (gene/pseudogene)"
9606,90,ACVR1,2,2q23-q24,protein-coding,"activin A receptor, type I"
9606,91,ACVR1B,12,12q13,protein-coding,"activin A receptor, type IB"
9606,94,ACVRL1,12,12q13.13,protein-coding,activin A receptor type II-like 1
9606,95,ACY1,3,3p21.1,protein-coding,aminoacylase 1
9606,97,ACYP1,14,14q24.3,protein-coding,"acylphosphatase 1, erythrocyte (common) type"
9606,100,ADA,20,20q13.12,protein-coding,adenosine deaminase
9606,102,ADAM10,15,15q22,protein-coding,ADAM metallopeptidase domain 10
9606,111,ADCY5,3,3q21.1,protein-coding,adenylate cyclase 5
9606,112,ADCY6,12,12q12-q13,protein-coding,adenylate cyclase 6
9606,114,ADCY8,8,8q24,protein-coding,adenylate cyclase 8 (brain)
9606,116,ADCYAP1,18,18p11,protein-coding,adenylate cyclase activating polypeptide 1 (pituitary)
9606,117,ADCYAP1R1,7,7p14,protein-coding,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
9606,118,ADD1,4,4p16.3,protein-coding,adducin 1 (alpha)
9606,119,ADD2,2,2p13.3,protein-coding,adducin 2 (beta)
9606,120,ADD3,10,10q25.2,protein-coding,adducin 3 (gamma)
9606,125,ADH1B,4,4q23,protein-coding,"alcohol dehydrogenase 1B (class I), beta polypeptide"
9606,127,ADH4,4,4q22,protein-coding,"alcohol dehydrogenase 4 (class II), pi polypeptide"
9606,128,ADH5,4,4q23,protein-coding,"alcohol dehydrogenase 5 (class III), chi polypeptide"
9606,130,ADH6,4,4q23,protein-coding,alcohol dehydrogenase 6 (class V)
9606,132,ADK,10,10q22|10q11-q24,protein-coding,adenosine kinase
9606,133,ADM,11,11p15.4,protein-coding,adrenomedullin
9606,134,ADORA1,1,1q32.1,protein-coding,adenosine A1 receptor
9606,135,ADORA2A,22,22q11.23,protein-coding,adenosine A2a receptor
9606,142,PARP1,1,1q41-q42,protein-coding,poly (ADP-ribose) polymerase 1
9606,143,PARP4,13,13q11,protein-coding,"poly (ADP-ribose) polymerase family, member 4"
9606,146,ADRA1D,20,20p13,protein-coding,adrenoceptor alpha 1D
9606,147,ADRA1B,5,5q33.3,protein-coding,adrenoceptor alpha 1B
9606,148,ADRA1A,8,8p21.2,protein-coding,adrenoceptor alpha 1A
9606,150,ADRA2A,10,10q25.2,protein-coding,adrenoceptor alpha 2A
9606,151,ADRA2B,2,2q11.1,protein-coding,adrenoceptor alpha 2B
9606,152,ADRA2C,4,4p16,protein-coding,adrenoceptor alpha 2C
9606,153,ADRB1,10,10q25.3,protein-coding,adrenoceptor beta 1
9606,154,ADRB2,5,5q31-q32,protein-coding,"adrenoceptor beta 2, surface"
9606,155,ADRB3,8,8p12,protein-coding,adrenoceptor beta 3
9606,156,ADRBK1,11,11q13.1,protein-coding,"adrenergic, beta, receptor kinase 1"
9606,157,ADRBK2,22,22q12.1,protein-coding,"adrenergic, beta, receptor kinase 2"
9606,159,ADSS,1,1q44,protein-coding,adenylosuccinate synthase
9606,160,AP2A1,19,19q13.33,protein-coding,"adaptor-related protein complex 2, alpha 1 subunit"
9606,161,AP2A2,11,11p15.5,protein-coding,"adaptor-related protein complex 2, alpha 2 subunit"
9606,162,AP1B1,22,22q12.2,protein-coding,"adaptor-related protein complex 1, beta 1 subunit"
9606,163,AP2B1,17,17q12,protein-coding,"adaptor-related protein complex 2, beta 1 subunit"
9606,164,AP1G1,16,16q23,protein-coding,"adaptor-related protein complex 1, gamma 1 subunit"
9606,166,AES,19,19p13.3,protein-coding,amino-terminal enhancer of split
9606,174,AFP,4,4q13.3,protein-coding,alpha-fetoprotein
9606,175,AGA,4,4q34.3,protein-coding,aspartylglucosaminidase
9606,176,ACAN,15,15q26.1,protein-coding,aggrecan
9606,177,AGER,6,6p21.3,protein-coding,advanced glycosylation end product-specific receptor
9606,178,AGL,1,1p21,protein-coding,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
9606,182,JAG1,20,20p12.1-p11.23,protein-coding,jagged 1
9606,183,AGT,1,1q42.2,protein-coding,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
9606,185,AGTR1,3,3q24,protein-coding,"angiotensin II receptor, type 1"
9606,186,AGTR2,X,Xq22-q23,protein-coding,"angiotensin II receptor, type 2"
9606,189,AGXT,2,2q37.3,protein-coding,alanine-glyoxylate aminotransferase
9606,190,NR0B1,X,Xp21.3,protein-coding,"nuclear receptor subfamily 0, group B, member 1"
9606,191,AHCY,20,20q11.22,protein-coding,adenosylhomocysteinase
9606,196,AHR,7,7p15,protein-coding,aryl hydrocarbon receptor
9606,197,AHSG,3,3q27,protein-coding,alpha-2-HS-glycoprotein
9606,199,AIF1,6,6p21.3,protein-coding,allograft inflammatory factor 1
9606,202,AIM1,6,6q21,protein-coding,absent in melanoma 1
9606,203,AK1,9,9q34.1,protein-coding,adenylate kinase 1
9606,204,AK2,1,1p34,protein-coding,adenylate kinase 2
9606,205,AK4,1,1p31.3,protein-coding,adenylate kinase 4
9606,207,AKT1,14,14q32.32,protein-coding,v-akt murine thymoma viral oncogene homolog 1
9606,208,AKT2,19,19q13.1-q13.2,protein-coding,v-akt murine thymoma viral oncogene homolog 2
9606,211,ALAS1,3,3p21.1,protein-coding,5'-aminolevulinate synthase 1
9606,212,ALAS2,X,Xp11.21,protein-coding,5'-aminolevulinate synthase 2
9606,213,ALB,4,4q13.3,protein-coding,albumin
9606,216,ALDH1A1,9,9q21.13,protein-coding,"aldehyde dehydrogenase 1 family, member A1"
9606,217,ALDH2,12,12q24.2,protein-coding,aldehyde dehydrogenase 2 family (mitochondrial)
9606,221,ALDH3B1,11,11q13,protein-coding,"aldehyde dehydrogenase 3 family, member B1"
9606,223,ALDH9A1,1,1q23.1,protein-coding,"aldehyde dehydrogenase 9 family, member A1"
9606,224,ALDH3A2,17,17p11.2,protein-coding,"aldehyde dehydrogenase 3 family, member A2"
9606,226,ALDOA,16,16p11.2,protein-coding,"aldolase A, fructose-bisphosphate"
9606,229,ALDOB,9,9q21.3-q22.2,protein-coding,"aldolase B, fructose-bisphosphate"
9606,230,ALDOC,17,17cen-q12,protein-coding,"aldolase C, fructose-bisphosphate"
9606,231,AKR1B1,7,7q35,protein-coding,"aldo-keto reductase family 1, member B1 (aldose reductase)"
9606,238,ALK,2,2p23,protein-coding,anaplastic lymphoma receptor tyrosine kinase
9606,240,ALOX5,10,10q11.2,protein-coding,arachidonate 5-lipoxygenase
9606,241,ALOX5AP,13,13q12,protein-coding,arachidonate 5-lipoxygenase-activating protein
9606,249,ALPL,1,1p36.12,protein-coding,"alkaline phosphatase, liver/bone/kidney"
9606,250,ALPP,2,2q37,protein-coding,"alkaline phosphatase, placental"
9606,251,ALPPL2,2,2q37,protein-coding,"alkaline phosphatase, placental-like 2"
9606,259,AMBP,9,9q32-q33,protein-coding,alpha-1-microglobulin/bikunin precursor
9606,267,AMFR,16,16q21,protein-coding,"autocrine motility factor receptor, E3 ubiquitin protein ligase"
9606,272,AMPD3,11,11p15,protein-coding,adenosine monophosphate deaminase 3
9606,273,AMPH,7,7p14-p13,protein-coding,amphiphysin
9606,274,BIN1,2,2q14,protein-coding,bridging integrator 1
9606,276,AMY1A,1,1p21,protein-coding,"amylase, alpha 1A (salivary)"
9606,277,AMY1B,1,1p21,protein-coding,"amylase, alpha 1B (salivary)"
9606,278,AMY1C,1,1p21,protein-coding,"amylase, alpha 1C (salivary)"
9606,279,AMY2A,1,1p21,protein-coding,"amylase, alpha 2A (pancreatic)"
9606,283,ANG,14,14q11.1-q11.2,protein-coding,"angiogenin, ribonuclease, RNase A family, 5"
9606,287,ANK2,4,4q25-q27,protein-coding,"ankyrin 2, neuronal"
9606,288,ANK3,10,10q21,protein-coding,"ankyrin 3, node of Ranvier (ankyrin G)"
9606,291,SLC25A4,4,4q35,protein-coding,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
9606,292,SLC25A5,X,Xq24,protein-coding,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
9606,293,SLC25A6,X|Y,Xp22.32 and Yp11.3,protein-coding,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"
9606,301,ANXA1,9,9q21.13,protein-coding,annexin A1
9606,302,ANXA2,15,15q22.2,protein-coding,annexin A2
9606,306,ANXA3,4,4q21.21,protein-coding,annexin A3
9606,308,ANXA5,4,4q27,protein-coding,annexin A5
9606,309,ANXA6,5,5q33.1,protein-coding,annexin A6
9606,310,ANXA7,10,10q22.2,protein-coding,annexin A7
9606,316,AOX1,2,2q33,protein-coding,aldehyde oxidase 1
9606,317,APAF1,12,12q23,protein-coding,apoptotic peptidase activating factor 1
9606,318,NUDT2,9,9p13,protein-coding,nudix (nucleoside diphosphate linked moiety X)-type motif 2
9606,320,APBA1,9,9q21.12,protein-coding,"amyloid beta (A4) precursor protein-binding, family A, member 1"
9606,321,APBA2,15,15q11-q12,protein-coding,"amyloid beta (A4) precursor protein-binding, family A, member 2"
9606,322,APBB1,11,11p15,protein-coding,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
9606,323,APBB2,4,4p13,protein-coding,"amyloid beta (A4) precursor protein-binding, family B, member 2"
9606,324,APC,5,5q21-q22,protein-coding,adenomatous polyposis coli
9606,325,APCS,1,1q21-q23,protein-coding,"amyloid P component, serum"
9606,326,AIRE,21,21q22.3,protein-coding,autoimmune regulator
9606,327,APEH,3,3p21.31,protein-coding,acylaminoacyl-peptide hydrolase
9606,328,APEX1,14,14q11.2,protein-coding,APEX nuclease (multifunctional DNA repair enzyme) 1
9606,329,BIRC2,11,11q22,protein-coding,baculoviral IAP repeat containing 2
9606,330,BIRC3,11,11q22,protein-coding,baculoviral IAP repeat containing 3
9606,331,XIAP,X,Xq25,protein-coding,"X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase"
9606,332,BIRC5,17,17q25,protein-coding,baculoviral IAP repeat containing 5
9606,333,APLP1,19,19q13.1,protein-coding,amyloid beta (A4) precursor-like protein 1
9606,334,APLP2,11,11q24,protein-coding,amyloid beta (A4) precursor-like protein 2
9606,335,APOA1,11,11q23-q24,protein-coding,apolipoprotein A-I
9606,336,APOA2,1,1q23.3,protein-coding,apolipoprotein A-II
9606,337,APOA4,11,11q23,protein-coding,apolipoprotein A-IV
9606,338,APOB,2,2p24-p23,protein-coding,apolipoprotein B
9606,341,APOC1,19,19q13.2,protein-coding,apolipoprotein C-I
9606,344,APOC2,19,19q13.2,protein-coding,apolipoprotein C-II
9606,345,APOC3,11,11q23.3,protein-coding,apolipoprotein C-III
9606,347,APOD,3,3q29,protein-coding,apolipoprotein D
9606,348,APOE,19,19q13.2,protein-coding,apolipoprotein E
9606,350,APOH,17,17q24.2,protein-coding,apolipoprotein H (beta-2-glycoprotein I)
9606,351,APP,21,21q21.3,protein-coding,amyloid beta (A4) precursor protein
9606,353,APRT,16,16q24,protein-coding,adenine phosphoribosyltransferase
9606,354,KLK3,19,19q13.41,protein-coding,kallikrein-related peptidase 3
9606,355,FAS,10,10q24.1,protein-coding,Fas cell surface death receptor
9606,356,FASLG,1,1q23,protein-coding,"Fas ligand (TNF superfamily, member 6)"
9606,360,AQP3,9,9p13,protein-coding,aquaporin 3 (Gill blood group)
9606,367,AR,X,Xq12,protein-coding,androgen receptor
9606,369,ARAF,X,Xp11.4-p11.2,protein-coding,"A-Raf proto-oncogene, serine/threonine kinase"
9606,372,ARCN1,11,11q23.3,protein-coding,archain 1
9606,373,TRIM23,5,5q12.3,protein-coding,tripartite motif containing 23
9606,374,AREG,4,4q13.3,protein-coding,amphiregulin
9606,375,ARF1,1,1q42,protein-coding,ADP-ribosylation factor 1
9606,377,ARF3,12,12q13,protein-coding,ADP-ribosylation factor 3
9606,378,ARF4,3,3p14.3,protein-coding,ADP-ribosylation factor 4
9606,379,ARL4D,17,17q21.31,protein-coding,ADP-ribosylation factor-like 4D
9606,381,ARF5,7,7q31.3,protein-coding,ADP-ribosylation factor 5
9606,382,ARF6,14,14q21.3,protein-coding,ADP-ribosylation factor 6
9606,383,ARG1,6,6q23,protein-coding,arginase 1
9606,387,RHOA,3,3p21.3,protein-coding,ras homolog family member A
9606,388,RHOB,2,2p24,protein-coding,ras homolog family member B
9606,389,RHOC,1,1p13.1,protein-coding,ras homolog family member C
9606,392,ARHGAP1,11,11p11.2,protein-coding,Rho GTPase activating protein 1
9606,393,ARHGAP4,X,Xq28,protein-coding,Rho GTPase activating protein 4
9606,394,ARHGAP5,14,14q12,protein-coding,Rho GTPase activating protein 5
9606,396,ARHGDIA,17,17q25.3,protein-coding,Rho GDP dissociation inhibitor (GDI) alpha
